Unit ID,Unit Name,Unit name local script,Fuel type,Unit type,Country/Area,"Subnational unit (province, state)",Latitude,Longitude,Location accuracy,Status,Status year,Discovery year,Production start year,Operator,Owner,Parent,Onshore/Offshore,Production Type,Wiki URL
OG0013499,Huntoon Frobisher,,oil,pool,Canada,Saskatchewan,49.534,-103.197,exact,operating,2023,1957,,,,,Onshore,Unknown,"https://www.gem.wiki/Huntoon_Frobisher_Oil_Pool_(Saskatchewan,_Canada)"
OG0013500,Huntoon Midale,,oil,pool,Canada,Saskatchewan,49.537,-103.215,exact,operating,2023,1957,,,,,Onshore,Unknown,"https://www.gem.wiki/Huntoon_Midale_Oil_Pool_(Saskatchewan,_Canada)"
OG0013503,Ingebrigt Milk River,,gas,pool,Canada,Saskatchewan,50.356,-109.337,exact,operating,2023,,,,,,Onshore,Unknown,"https://www.gem.wiki/Ingebrigt_Milk_River_Gas_Pool_(Saskatchewan,_Canada)"
OG0013504,Ingoldsby East Alida,,oil,pool,Canada,Saskatchewan,49.293,-101.517,exact,operating,2023,1985,,,,,Onshore,Unknown,"https://www.gem.wiki/Ingoldsby_East_Alida_Oil_Pool_(Saskatchewan,_Canada)"
OG0013505,Ingoldsby Frob-Alida,,oil,pool,Canada,Saskatchewan,49.282,-101.623,exact,operating,2022,1955,,,,,Onshore,Unknown,"https://www.gem.wiki/Ingoldsby_Frob-Alida_Oil_Pool_(Saskatchewan,_Canada)"
OG0013506,Ingoldsby N Alida,,oil,pool,Canada,Saskatchewan,49.339,-101.618,exact,operating,2017,1964,,,,,Onshore,Unknown,"https://www.gem.wiki/Ingoldsby_N_Alida_Oil_Pool_(Saskatchewan,_Canada)"
OG0013508,Innes Frobisher,,oil,pool,Canada,Saskatchewan,49.6,-103.342,exact,operating,2023,1965,,,,,Onshore,Unknown,"https://www.gem.wiki/Innes_Frobisher_Oil_Pool_(Saskatchewan,_Canada)"
OG0013509,Instow Upper Shaunavon,,oil,pool,Canada,Saskatchewan,49.79,-108.392,exact,operating,2023,1954,,,,,Onshore,Unknown,"https://www.gem.wiki/Instow_Upper_Shaunavon_Oil_Pool_(Saskatchewan,_Canada)"
OG0013510,Java Cantuar,,oil,pool,Canada,Saskatchewan,50.266,-108.027,exact,operating,2023,1955,,,,,Onshore,Unknown,"https://www.gem.wiki/Java_Cantuar_Oil_Pool_(Saskatchewan,_Canada)"
OG0013511,Java East Success,,oil,pool,Canada,Saskatchewan,50.344,-107.98,exact,operating,2023,1999,,,,,Onshore,Unknown,"https://www.gem.wiki/Java_East_Success_Oil_Pool_(Saskatchewan,_Canada)"
OG0013512,Java North Cantuar,,oil,pool,Canada,Saskatchewan,50.294,-108.009,exact,operating,2023,1984,,,,,Onshore,Unknown,"https://www.gem.wiki/Java_North_Cantuar_Oil_Pool_(Saskatchewan,_Canada)"
OG0013513,Java West Cantuar,,oil,pool,Canada,Saskatchewan,50.29,-108.048,exact,operating,2023,1996,,,,,Onshore,Unknown,"https://www.gem.wiki/Java_West_Cantuar_Oil_Pool_(Saskatchewan,_Canada)"
OG0013514,Johnston Roseray,,oil,pool,Canada,Saskatchewan,50.099,-108.517,exact,operating,2023,1954,,,,,Onshore,Unknown,"https://www.gem.wiki/Johnston_Roseray_Oil_Pool_(Saskatchewan,_Canada)"
OG0013517,Kenosee Tilston,,oil,pool,Canada,Saskatchewan,49.852,-102.314,exact,operating,2023,1958,,,,,Onshore,Unknown,"https://www.gem.wiki/Kenosee_Tilston_Oil_Pool_(Saskatchewan,_Canada)"
OG0013518,Kerrobert Mannville,,oil,pool,Canada,Saskatchewan,51.812,-109.282,exact,operating,2023,1995,,,,,Onshore,Unknown,"https://www.gem.wiki/Kerrobert_Mannville_Oil_Pool_(Saskatchewan,_Canada)"
OG0013519,Kerrobert Viking,,oil,pool,Canada,Saskatchewan,51.821,-109.244,exact,operating,2023,1981,,,,,Onshore,Unknown,"https://www.gem.wiki/Kerrobert_Viking_Oil_Pool_(Saskatchewan,_Canada)"
OG0013520,Kindersley South Viking,,gas,pool,Canada,Saskatchewan,51.373,-109.379,exact,operating,2023,,,,,,Onshore,Unknown,"https://www.gem.wiki/Kindersley_South_Viking_Gas_Pool_(Saskatchewan,_Canada)"
OG0013523,Kisbey Frob-Alida,,oil,pool,Canada,Saskatchewan,49.645,-102.706,exact,operating,2017,1985,,,,,Onshore,Unknown,"https://www.gem.wiki/Kisbey_Frob-Alida_Oil_Pool_(Saskatchewan,_Canada)"
OG0013524,Lacadena Milk River,,gas,pool,Canada,Saskatchewan,50.961,-108.381,exact,operating,2023,,,,,,Onshore,Unknown,"https://www.gem.wiki/Lacadena_Milk_River_Gas_Pool_(Saskatchewan,_Canada)"
OG0013525,Lacadena S Milk River,,gas,pool,Canada,Saskatchewan,50.79,-108.302,exact,shut in,2023,,,,,,Onshore,Unknown,"https://www.gem.wiki/Lacadena_S_Milk_River_Gas_Pool_(Saskatchewan,_Canada)"
OG0013526,Lake Alma Ratcliffe,,oil,pool,Canada,Saskatchewan,49.062,-104.243,exact,operating,2023,1965,,,,,Onshore,Unknown,"https://www.gem.wiki/Lake_Alma_Ratcliffe_Oil_Pool_(Saskatchewan,_Canada)"
OG0013527,Landrose Mclaren,,oil,pool,Canada,Saskatchewan,53.302,-109.675,exact,operating,2023,1950,,,,,Onshore,Unknown,"https://www.gem.wiki/Landrose_Mclaren_Oil_Pool_(Saskatchewan,_Canada)"
OG0013529,Lashburn East Waseca,,oil,pool,Canada,Saskatchewan,53.204,-109.394,exact,operating,2023,1966,,,,,Onshore,Unknown,"https://www.gem.wiki/Lashburn_East_Waseca_Oil_Pool_(Saskatchewan,_Canada)"
OG0013530,Lashburn Mclaren,,oil and gas,pool,Canada,Saskatchewan,53.195,-109.41,exact,operating,2023,1980,,,,,Onshore,Unknown,"https://www.gem.wiki/Lashburn_Mclaren_Oil_and_Gas_Pool_(Saskatchewan,_Canada)"
OG0013533,Lashburn South Mclaren,,oil,pool,Canada,Saskatchewan,53.15,-109.408,exact,operating,2023,1967,,,,,Onshore,Unknown,"https://www.gem.wiki/Lashburn_South_Mclaren_Oil_Pool_(Saskatchewan,_Canada)"
OG0013534,Lashburn South Sparky,,oil,pool,Canada,Saskatchewan,53.15,-109.408,exact,operating,2023,1967,,,,,Onshore,Unknown,"https://www.gem.wiki/Lashburn_South_Sparky_Oil_Pool_(Saskatchewan,_Canada)"
OG0013535,Lashburn South Waseca,,oil,pool,Canada,Saskatchewan,53.15,-109.408,exact,operating,2023,1971,,,,,Onshore,Unknown,"https://www.gem.wiki/Lashburn_South_Waseca_Oil_Pool_(Saskatchewan,_Canada)"
OG0013536,Lashburn Sparky,,oil,pool,Canada,Saskatchewan,53.195,-109.41,exact,operating,2023,1963,,,,,Onshore,Unknown,"https://www.gem.wiki/Lashburn_Sparky_Oil_Pool_(Saskatchewan,_Canada)"
OG0013537,Lashburn West Sparky,,oil,pool,Canada,Saskatchewan,53.142,-109.622,exact,operating,2023,1979,,,,,Onshore,Unknown,"https://www.gem.wiki/Lashburn_West_Sparky_Oil_Pool_(Saskatchewan,_Canada)"
OG0013539,Leitchville Shaunavon,,oil,pool,Canada,Saskatchewan,49.757,-108.548,exact,operating,2023,1960,,,,,Onshore,Unknown,"https://www.gem.wiki/Leitchville_Shaunavon_Oil_Pool_(Saskatchewan,_Canada)"
OG0013540,Leon Lake Lower Shaunavon,,oil,pool,Canada,Saskatchewan,49.626,-108.534,exact,operating,2023,1953,,,,,Onshore,Unknown,"https://www.gem.wiki/Leon_Lake_Lower_Shaunavon_Oil_Pool_(Saskatchewan,_Canada)"
OG0013541,Liebenthal Milk River,,gas,pool,Canada,Saskatchewan,50.669,-109.405,exact,operating,2023,,,,,,Onshore,Unknown,"https://www.gem.wiki/Liebenthal_Milk_River_Gas_Pool_(Saskatchewan,_Canada)"
OG0013543,Lightning Tilston,,oil,pool,Canada,Saskatchewan,49.612,-101.794,exact,operating,2023,1957,,,,,Onshore,Unknown,"https://www.gem.wiki/Lightning_Tilston_Oil_Pool_(Saskatchewan,_Canada)"
OG0013547,Lloydminster Sparky,,oil,pool,Canada,Saskatchewan,53.311,-109.986,exact,operating,2023,1952,,,,,Onshore,Unknown,"https://www.gem.wiki/Lloydminster_Sparky_Oil_Pool_(Saskatchewan,_Canada)"
OG0013548,Lone Rock East Sparky,,oil,pool,Canada,Saskatchewan,53.03,-109.8,exact,operating,2023,2017,,,,,Onshore,Unknown,"https://www.gem.wiki/Lone_Rock_East_Sparky_Oil_Pool_(Saskatchewan,_Canada)"
